name,footprint,Easternmost_longitude,Maximum_latitude,Minimum_latitude,Westernmost_longitude,dimE,dimN
HRL000052FF_07_IF155L_TRR3,Polygon -103.649 -32.096 -103.739 -32.097 -103.824 -32.124 -103.909 -32.155 -103.995 -32.149 -103.996 -32.15 -103.998 -32.135 -104.004 -32.103 -104.009 -32.07 -103.917 -32.073 -103.83 -32.049 -103.746 -32.015 -103.66 -32.013 -103.653 -32.06 -103.648 -32.097 -103.649 -32.096 103.649 -32.096,256.352,-32.013,-32.155,255.991,59,27
HRL00005C79_07_IF156S_TRR3,Polygon -33.483 23.1 -33.569 23.097 -33.653 23.088 -33.739 23.086 -33.819 23.079 -33.815 23.021 -33.812 22.99 -33.725 22.998 -33.549 23.008 -33.467 23.014 -33.474 23.052 -33.48 23.091 -33.483 23.1 33.483 23.1,326.533,23.1,22.99,326.181,65,23
FRT00004512_07_IF155S_TRR3,Polygon 19.753 -47.326 19.635 -47.327 19.518 -47.332 19.292 -47.336 19.291 -47.337 19.286 -47.315 19.279 -47.28 19.271 -47.244 19.388 -47.241 19.506 -47.239 19.624 -47.235 19.736 -47.235 19.746 -47.282 19.755 -47.327 19.753 -47.326 9.753 -47.326,19.755,-47.235,-47.337,19.271,66,17
FRT0000474F_07_IF156L_TRR3,Polygon -64.579 -13.052 -64.634 -13.065 -64.69 -13.076 -64.745 -13.083 -64.798 -13.085 -64.798 -13.088 -64.796 -13.102 -64.795 -13.116 -64.681 -13.104 -64.625 -13.089 -64.573 -13.076 -64.576 -13.061 -64.579 -13.051 -64.579 -13.052 64.579 -13.052,295.427,-13.051,-13.116,295.202,80,26
HRS000068E0_07_IF173S_TRR3,Polygon -17.521 -86.793 -17.553 -86.839 -17.623 -86.931 -17.658 -86.976 -18.315 -86.967 -18.876 -86.96 -19.376 -86.956 -19.912 -86.955 -19.794 -86.913 -19.684 -86.871 -19.578 -86.83 -19.479 -86.788 -19.017 -86.794 -18.58 -86.796 -18.071 -86.795 -17.521 -86.793 17.521 -86.793,342.479,-86.788,-86.976,340.088,248,355
HRS000068E0_07_IF173L_TRR3,Polygon -17.52 -86.792 -17.551 -86.838 -17.585 -86.883 -17.62 -86.928 -17.655 -86.972 -18.87 -86.957 -19.368 -86.953 -19.902 -86.952 -19.786 -86.911 -19.573 -86.828 -19.476 -86.787 -19.014 -86.793 -18.577 -86.795 -18.068 -86.795 -17.52 -86.792 17.52 -86.792,342.48,-86.787,-86.972,340.098,250,355
HRS00006F75_07_IF173S_TRR3,Polygon -70.729 -86.996 -70.772 -87.042 -70.816 -87.087 -70.863 -87.133 -70.912 -87.178 -71.617 -87.169 -72.211 -87.163 -72.761 -87.16 -73.368 -87.159 -73.261 -87.116 -73.141 -87.074 -73.029 -87.032 -72.93 -86.99 -72.389 -86.995 -71.903 -86.998 -71.353 -86.998 -70.729 -86.996 70.729 -86.996,289.271,-86.99,-87.178,286.632,253,353
HRS0000681B_07_IF173S_TRR3,Polygon 17.612 -86.898 17.578 -86.944 17.544 -86.989 17.504 -87.034 17.474 -87.079 16.776 -87.071 16.213 -87.065 15.686 -87.062 15.085 -87.061 15.204 -87.019 15.313 -86.977 15.409 -86.935 15.502 -86.894 16.019 -86.899 16.487 -86.901 17.01 -86.9 17.612 -86.898 7.612 -86.898,17.612,-86.894,-87.079,15.085,254,353
HRS00006F75_07_IF173L_TRR3,Polygon -70.721 -86.995 -70.763 -87.04 -70.806 -87.085 -70.852 -87.13 -70.9 -87.175 -71.607 -87.166 -72.202 -87.161 -72.746 -87.157 -73.35 -87.156 -73.244 -87.114 -73.124 -87.072 -73.015 -87.03 -72.917 -86.989 -72.379 -86.995 -71.892 -86.997 -71.341 -86.997 -70.721 -86.995 70.721 -86.995,289.279,-86.989,-87.175,286.65,255,352
HRS0000681B_07_IF173L_TRR3,Polygon 17.613 -86.897 17.58 -86.942 17.546 -86.987 17.506 -87.032 17.475 -87.076 16.779 -87.068 16.218 -87.062 15.692 -87.059 15.093 -87.058 15.211 -87.017 15.317 -86.975 15.412 -86.934 15.504 -86.893 16.021 -86.898 16.489 -86.9 17.011 -86.899 17.613 -86.897 7.613 -86.897,17.613,-86.893,-87.076,15.093,256,352
HRS00006FEA_07_IF173S_TRR3,Polygon 76.571 -87.858 76.41 -87.904 76.24 -87.949 76.062 -87.995 75.877 -88.041 75.009 -88.033 74.259 -88.027 73.558 -88.024 72.745 -88.022 72.856 -87.979 72.963 -87.935 73.066 -87.891 73.163 -87.848 74.033 -87.856 74.82 -87.859 75.668 -87.86 76.571 -87.858 6.571 -87.858,76.571,-87.848,-88.041,72.745,256,355
