target_name,target_class,start_time,stop_time,granule_gid,file_name,magnitude,feature_name,phase_angle,bib_code,release_date,instrument_name,instrument_host_name,sp_min,sp_max,sp_res_min,sp_res_max,observer_name,observer_institute,data_calibration_desc
Callisto,satellite,2008-05-05,,THN-PSL,080505_Callisto.txt,6.3,disk,10,2009A&A...507.1649L,2009-09-15T00:00:00,TRISPEC,Higashi-Hiroshima Observatory,0.45,2.496,140.,360.,R. Lundock,Tohoku-Hiroshima-Nagoya,Normalized - calibrated to std star at similar airmass 
Ceres,dwarf_planet,2008-11-25,,THN-PSL,081125_Ceres.txt,8.4,disk,23,2009A&A...507.1649L,2009-09-15T00:00:00,TRISPEC,Higashi-Hiroshima Observatory,0.45,2.496,140.,360.,R. Lundock,Tohoku-Hiroshima-Nagoya,Normalized - calibrated to std star at similar airmass 
Dione,satellite,2008-05-05,,THN-PSL,080505_Dione.txt,10.4,disk,6,2009A&A...507.1649L,2009-09-15T00:00:00,TRISPEC,Higashi-Hiroshima Observatory,0.45,2.496,140.,360.,R. Lundock,Tohoku-Hiroshima-Nagoya,Normalized - calibrated to std star at similar airmass 
Dione,satellite,2008-11-25,,THN-PSL,081125_Dione.txt,10.6,disk,6,2009A&A...507.1649L,2009-09-15T00:00:00,TRISPEC,Higashi-Hiroshima Observatory,0.45,2.496,140.,360.,R. Lundock,Tohoku-Hiroshima-Nagoya,Normalized - calibrated to std star at similar airmass 
Earth,planet,2008-11-21,,THN-PSL,081121_Earth.txt,-2.5,disk,70,2009A&A...507.1649L,2009-09-15T00:00:00,TRISPEC,Higashi-Hiroshima Observatory,0.45,2.496,140.,360.,R. Lundock,Tohoku-Hiroshima-Nagoya,Normalized - reflected from the Moon and divided by Lunar spectrum
Earth,planet,2008-05-11,,THN-PSL,080511_Earth1.txt,-2.5,disk,81,2009A&A...507.1649L,2009-09-15T00:00:00,TRISPEC,Higashi-Hiroshima Observatory,0.45,2.496,140.,360.,R. Lundock,Tohoku-Hiroshima-Nagoya,Normalized - reflected from the Moon and divided by Lunar spectrum
Earth,planet,2008-05-11,,THN-PSL,080511_Earth2.txt,-2.5,disk,84,2009A&A...507.1649L,2009-09-15T00:00:00,TRISPEC,Higashi-Hiroshima Observatory,0.45,2.496,140.,360.,R. Lundock,Tohoku-Hiroshima-Nagoya,Normalized - reflected from the Moon and divided by Lunar spectrum
Europa,satellite,2008-05-07,,THN-PSL,080507_Europa.txt,5.6,disk,10,2009A&A...507.1649L,2009-09-15T00:00:00,TRISPEC,Higashi-Hiroshima Observatory,0.45,2.496,140.,360.,R. Lundock,Tohoku-Hiroshima-Nagoya,Normalized - calibrated to std star at similar airmass 
Ganymede,satellite,2008-11-26,,THN-PSL,081126_Ganymede.txt,5.4,disk,8,2009A&A...507.1649L,2009-09-15T00:00:00,TRISPEC,Higashi-Hiroshima Observatory,0.45,2.496,140.,360.,R. Lundock,Tohoku-Hiroshima-Nagoya,Normalized - calibrated to std star at similar airmass 
Io,satellite,2008-05-06,,THN-PSL,080506_Io.txt,5.4,disk,10,2009A&A...507.1649L,2009-09-15T00:00:00,TRISPEC,Higashi-Hiroshima Observatory,0.45,2.496,140.,360.,R. Lundock,Tohoku-Hiroshima-Nagoya,Normalized - calibrated to std star at similar airmass 
Io,satellite,2008-11-26,,THN-PSL,081126_Io.txt,5.8,disk,8,2009A&A...507.1649L,2009-09-15T00:00:00,TRISPEC,Higashi-Hiroshima Observatory,0.45,2.496,140.,360.,R. Lundock,Tohoku-Hiroshima-Nagoya,Normalized - calibrated to std star at similar airmass 
Jupiter,planet,2008-05-07,,THN-PSL,080507_Jupiter.txt,-2.4,disk,10,2009A&A...507.1649L,2009-09-15T00:00:00,TRISPEC,Higashi-Hiroshima Observatory,0.45,2.496,140.,360.,R. Lundock,Tohoku-Hiroshima-Nagoya,Normalized - calibrated to std star at similar airmass 
Moon,satellite,2008-11-21,,THN-PSL,081121_Luna1.txt,-9.3,mare,108,2009A&A...507.1649L,2009-09-15T00:00:00,TRISPEC,Higashi-Hiroshima Observatory,0.45,2.496,140.,360.,R. Lundock,Tohoku-Hiroshima-Nagoya,Normalized - calibrated to std star at similar airmass 
Moon,satellite,2008-11-21,,THN-PSL,081121_Luna2.txt,-9.3,mare,109,2009A&A...507.1649L,2009-09-15T00:00:00,TRISPEC,Higashi-Hiroshima Observatory,0.45,2.496,140.,360.,R. Lundock,Tohoku-Hiroshima-Nagoya,Normalized - calibrated to std star at similar airmass 
Moon,satellite,2008-05-11,,THN-PSL,080511_LunaCrater.txt,-9.8,crater,97,2009A&A...507.1649L,2009-09-15T00:00:00,TRISPEC,Higashi-Hiroshima Observatory,0.45,2.496,140.,360.,R. Lundock,Tohoku-Hiroshima-Nagoya,Normalized - calibrated to std star at similar airmass 
