Mixing ratio profile of C2H2
Latitude:  1 N
Longitude: 106 E
Observation date: May 21, 2012 (T83 flyby)
Solar longitude:  33.6
Local time: 17:55
Correlation length: 1 scale height
Latitude of the temperature profile used for the retrieval: 1 S
Reference: Vinatier et al. 2015, Icarus 250, 95-115
  
  alt(km)    P(mbar)     T(K)      q_C2H2       q_min        q_max
  506.07   1.4580e-03   161.02   2.9960e-06   2.1619e-06   3.8301e-06
  496.37   1.7650e-03   161.38   3.0130e-06   2.1781e-06   3.8479e-06
  486.72   2.1350e-03   161.88   3.0470e-06   2.2104e-06   3.8836e-06
  477.09   2.5840e-03   162.44   3.1020e-06   2.2548e-06   3.9492e-06
  467.48   3.1270e-03   163.17   3.1770e-06   2.3222e-06   4.0318e-06
  457.88   3.7830e-03   164.13   3.2730e-06   2.4055e-06   4.1405e-06
  448.29   4.5780e-03   165.19   3.3860e-06   2.5049e-06   4.2671e-06
  438.68   5.5390e-03   166.54   3.5120e-06   2.6204e-06   4.4036e-06
  429.06   6.7030e-03   167.96   3.6450e-06   2.7461e-06   4.5439e-06
  419.42   8.1100e-03   169.29   3.7770e-06   2.8782e-06   4.6758e-06
  409.78   9.8140e-03   170.38   3.9010e-06   3.0061e-06   4.7959e-06
  400.14   1.1870e-02   171.25   4.0090e-06   3.1222e-06   4.8958e-06
  390.52   1.4370e-02   171.81   4.0950e-06   3.2245e-06   4.9655e-06
  380.94   1.7390e-02   172.22   4.1570e-06   3.3038e-06   5.0102e-06
  371.40   2.1040e-02   172.59   4.1950e-06   3.3637e-06   5.0263e-06
  361.89   2.5460e-02   173.18   4.2130e-06   3.4045e-06   5.0215e-06
  352.41   3.0800e-02   173.94   4.2160e-06   3.4309e-06   5.0011e-06
  342.95   3.7270e-02   174.69   4.2130e-06   3.4546e-06   4.9714e-06
  333.52   4.5100e-02   174.85   4.2140e-06   3.4781e-06   4.9499e-06
  324.15   5.4570e-02   174.94   4.2260e-06   3.5143e-06   4.9377e-06
  314.84   6.6030e-02   174.84   4.2570e-06   3.5640e-06   4.9500e-06
  305.60   7.9900e-02   174.45   4.3060e-06   3.6265e-06   4.9855e-06
  296.45   9.6680e-02   174.02   4.3700e-06   3.6990e-06   5.0410e-06
  287.37   1.1700e-01   173.45   4.4360e-06   3.7673e-06   5.1047e-06
  278.38   1.4160e-01   173.06   4.4850e-06   3.8198e-06   5.1502e-06
  269.45   1.7130e-01   173.30   4.4970e-06   3.8386e-06   5.1554e-06
  260.54   2.0730e-01   174.28   4.4520e-06   3.8155e-06   5.0885e-06
  251.62   2.5080e-01   175.89   4.3430e-06   3.7433e-06   4.9427e-06
  242.67   3.0350e-01   177.81   4.1750e-06   3.6204e-06   4.7296e-06
  233.69   3.6720e-01   179.17   3.9680e-06   3.4544e-06   4.4816e-06
  224.72   4.4430e-01   180.16   3.7470e-06   3.2676e-06   4.2264e-06
  215.77   5.3760e-01   180.34   3.5390e-06   3.0871e-06   3.9909e-06
  206.90   6.5060e-01   179.02   3.3640e-06   2.9360e-06   3.7920e-06
  198.18   7.8720e-01   176.67   3.2340e-06   2.8234e-06   3.6446e-06
  189.65   9.5250e-01   173.58   3.1490e-06   2.7525e-06   3.5455e-06
  181.32   1.1530e+00   170.29   3.1060e-06   2.7157e-06   3.4963e-06
  173.21   1.3950e+00   166.67   3.0920e-06   2.7048e-06   3.4792e-06
  165.29   1.6880e+00   164.22   3.0950e-06   2.7059e-06   3.4841e-06
  157.54   2.0420e+00   161.25   3.1030e-06   2.7082e-06   3.4978e-06
  149.95   2.4710e+00   159.56   3.1060e-06   2.7001e-06   3.5119e-06
  144.89   2.8090e+00   158.99   3.1030e-06   2.6809e-06   3.5251e-06
