Mixing ratio profile of C2H2
Latitude: 1 N
Longitude:  69 E
Observation date: January 2, 2012 (T80 flyby)
Solar longitude:  29.0
Local time: 01:23
Correlation length: 1 scale height
Latitude of the temperature profile used for the retrieval: 1 S
Reference: Vinatier et al. 2015, Icarus 250, 95-115
  
  alt(km)    P(mbar)     T(K)      q_C2H2       q_min        q_max
  528.85   9.9610e-04   163.93   5.1730e-06   3.9808e-06   6.3652e-06
  518.87   1.2050e-03   163.08   5.1770e-06   3.9980e-06   6.3560e-06
  508.99   1.4580e-03   162.77   5.1390e-06   3.9845e-06   6.2935e-06
  499.18   1.7650e-03   163.10   5.1230e-06   3.9916e-06   6.2544e-06
  489.38   2.1350e-03   164.11   5.1770e-06   4.0642e-06   6.2898e-06
  479.58   2.5840e-03   165.58   5.3220e-06   4.2192e-06   6.4248e-06
  469.74   3.1270e-03   167.28   5.5400e-06   4.4395e-06   6.6405e-06
  459.87   3.7830e-03   168.91   5.7700e-06   4.6740e-06   6.8660e-06
  449.99   4.5780e-03   170.08   5.9100e-06   4.8380e-06   6.9820e-06
  440.11   5.5390e-03   170.85   5.8700e-06   4.8441e-06   6.8959e-06
  430.26   6.7030e-03   171.15   5.6220e-06   4.6674e-06   6.5766e-06
  420.47   8.1100e-03   171.20   5.2360e-06   4.3651e-06   6.1069e-06
  410.74   9.8140e-03   171.28   4.8430e-06   4.0541e-06   5.6319e-06
  401.06   1.1870e-02   171.76   4.5740e-06   3.8455e-06   5.3025e-06
  391.39   1.4370e-02   172.69   4.4960e-06   3.8003e-06   5.1917e-06
  381.73   1.7390e-02   173.95   4.5990e-06   3.9090e-06   5.2890e-06
  372.07   2.1040e-02   175.16   4.7740e-06   4.0789e-06   5.4691e-06
  362.41   2.5460e-02   176.04   4.8210e-06   4.1306e-06   5.5114e-06
  352.79   3.0800e-02   176.13   4.5490e-06   3.8951e-06   5.2029e-06
  343.25   3.7270e-02   175.34   3.9440e-06   3.3657e-06   4.5223e-06
  333.84   4.5100e-02   173.56   3.2130e-06   2.7277e-06   3.6983e-06
  324.58   5.4570e-02   172.03   2.5950e-06   2.1935e-06   2.9965e-06
  315.43   6.6030e-02   171.31   2.2170e-06   1.8745e-06   2.5595e-06
  306.36   7.9900e-02   171.61   2.0990e-06   1.7804e-06   2.4176e-06
  297.30   9.6680e-02   172.93   2.2140e-06   1.8897e-06   2.5383e-06
  288.22   1.1700e-01   174.57   2.5100e-06   2.1588e-06   2.8612e-06
  279.12   1.4160e-01   176.03   2.8830e-06   2.4946e-06   3.2714e-06
  270.00   1.7130e-01   177.15   3.1860e-06   2.7676e-06   3.6044e-06
  260.91   2.0730e-01   177.76   3.3140e-06   2.8855e-06   3.7425e-06
  251.84   2.5080e-01   178.07   3.2850e-06   2.8671e-06   3.7029e-06
  242.82   3.0350e-01   178.31   3.2050e-06   2.8026e-06   3.6074e-06
  233.85   3.6720e-01   178.27   3.1660e-06   2.7724e-06   3.5596e-06
  224.94   4.4430e-01   178.54   3.1890e-06   2.7962e-06   3.5818e-06
  216.06   5.3760e-01   178.86   3.2260e-06   2.8315e-06   3.6205e-06
  207.25   6.5060e-01   178.29   3.1950e-06   2.8054e-06   3.5846e-06
  198.54   7.8720e-01   176.89   3.0510e-06   2.6783e-06   3.4237e-06
  189.98   9.5250e-01   174.56   2.8180e-06   2.4744e-06   3.1616e-06
  181.59   1.1530e+00   171.57   2.5750e-06   2.2616e-06   2.8884e-06
  173.42   1.3950e+00   167.89   2.3950e-06   2.0995e-06   2.6905e-06
  165.45   1.6880e+00   165.15   2.3140e-06   2.0248e-06   2.6032e-06
  157.66   2.0420e+00   161.93   2.3290e-06   2.0408e-06   2.6172e-06
  150.04   2.4710e+00   160.12   2.4160e-06   2.1205e-06   2.7115e-06
  144.23   2.8620e+00   159.43   2.4990e-06   2.1859e-06   2.8121e-06
