Mixing ratio profile of HCN
Latitude: 1 N
Longitude:  69 E
Observation date: January 2, 2012 (T80 flyby)
Solar longitude:  29.0
Local time: 01:23
Correlation length: 1 scale height
Latitude of the temperature profile used for the retrieval: 1 S
Reference: Vinatier et al. 2015, Icarus 250, 95-115
  
  alt(km)    P(mbar)     T(K)       q_HCN       q_min        q_max
  528.85   9.9610e-04   163.93   9.4640e-07   6.5043e-07   1.2424e-06
  518.87   1.2050e-03   163.08   9.0520e-07   6.2284e-07   1.1876e-06
  508.99   1.4580e-03   162.77   8.7700e-07   6.0467e-07   1.1493e-06
  499.18   1.7650e-03   163.10   8.6040e-07   5.9457e-07   1.1262e-06
  489.38   2.1350e-03   164.11   8.5280e-07   5.9097e-07   1.1146e-06
  479.58   2.5840e-03   165.58   8.5060e-07   5.9163e-07   1.1096e-06
  469.74   3.1270e-03   167.28   8.4990e-07   5.9374e-07   1.1061e-06
  459.87   3.7830e-03   168.91   8.4720e-07   5.9484e-07   1.0996e-06
  449.99   4.5780e-03   170.08   8.4030e-07   5.9313e-07   1.0875e-06
  440.11   5.5390e-03   170.85   8.2880e-07   5.8791e-07   1.0697e-06
  430.26   6.7030e-03   171.15   8.1380e-07   5.8056e-07   1.0470e-06
  420.47   8.1100e-03   171.20   7.9730e-07   5.7206e-07   1.0225e-06
  410.74   9.8140e-03   171.28   7.8110e-07   5.6415e-07   9.9805e-07
  401.06   1.1870e-02   171.76   7.6660e-07   5.5785e-07   9.7535e-07
  391.39   1.4370e-02   172.69   7.5390e-07   5.5356e-07   9.5424e-07
  381.73   1.7390e-02   173.95   7.4240e-07   5.4979e-07   9.3501e-07
  372.07   2.1040e-02   175.16   7.3060e-07   5.4541e-07   9.1579e-07
  362.41   2.5460e-02   176.04   7.1670e-07   5.3871e-07   8.9469e-07
  352.79   3.0800e-02   176.13   6.9900e-07   5.2808e-07   8.6992e-07
  343.25   3.7270e-02   175.34   6.7620e-07   5.1258e-07   8.3982e-07
  333.84   4.5100e-02   173.56   6.4800e-07   4.9370e-07   8.0230e-07
  324.58   5.4570e-02   172.03   6.1580e-07   4.7248e-07   7.5912e-07
  315.43   6.6030e-02   171.31   5.8230e-07   4.5145e-07   7.1315e-07
  306.36   7.9900e-02   171.61   5.5130e-07   4.3302e-07   6.6958e-07
  297.30   9.6680e-02   172.93   5.2670e-07   4.1940e-07   6.3400e-07
  288.22   1.1700e-01   174.57   5.1130e-07   4.1293e-07   6.0967e-07
  279.12   1.4160e-01   176.03   5.0610e-07   4.1399e-07   5.9821e-07
  270.00   1.7130e-01   177.15   5.1000e-07   4.2260e-07   5.9740e-07
  260.91   2.0730e-01   177.76   5.1990e-07   4.3584e-07   6.0396e-07
  251.84   2.5080e-01   178.07   5.3050e-07   4.4996e-07   6.1104e-07
  242.82   3.0350e-01   178.31   5.3620e-07   4.5927e-07   6.1313e-07
  233.85   3.6720e-01   178.27   5.3190e-07   4.5933e-07   6.0447e-07
  224.94   4.4430e-01   178.54   5.1470e-07   4.4696e-07   5.8244e-07
  216.06   5.3760e-01   178.86   4.8400e-07   4.2195e-07   5.4605e-07
  207.25   6.5060e-01   178.29   4.4170e-07   3.8527e-07   4.9813e-07
  198.54   7.8720e-01   176.89   3.9110e-07   3.4121e-07   4.4099e-07
  189.98   9.5250e-01   174.56   3.3760e-07   2.9434e-07   3.8086e-07
  181.59   1.1530e+00   171.57   2.8710e-07   2.5002e-07   3.2418e-07
  173.42   1.3950e+00   167.89   2.4560e-07   2.1314e-07   2.7806e-07
  165.45   1.6880e+00   165.15   2.1740e-07   1.8837e-07   2.4643e-07
  157.66   2.0420e+00   161.93   2.0510e-07   1.7848e-07   2.3172e-07
  150.04   2.4710e+00   160.12   2.1150e-07   1.8413e-07   2.3887e-07
  144.23   2.8620e+00   159.43   2.3190e-07   1.9961e-07   2.6419e-07
